path,board,spec_code,topic,current_title,proposed_title,title_len,current_description,proposed_description,desc_len,canonical,flags
revision-notes/aqa-a2-macro/2-3-1-economic-growth-and-the-economic-cycle.html,AQA,2.3.1,Economic Growth and the Economic Cycle,2.3.1 Economic Growth and the Economic Cycle | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.3.1 Economic Growth and the Cycle,57,"Free AQA A-Level Economics revision notes on Economic Growth and the Economic Cycle - learn about short-run and long-run growth, the economic cycle, output gaps, and the role of government in stabilising the economy.","Free AQA A-Level Economics revision notes (2.3.1). Covers short-run versus long-run growth, the phases of the cycle, output gaps and the costs of growth.",153,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-3-1-economic-growth-and-the-economic-cycle.html,topic shortened for title only; h1 unchanged
revision-notes/aqa-a2-macro/2-3-2-employment-and-unemployment.html,AQA,2.3.2,Employment and Unemployment,2.3.2 Employment and Unemployment | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.3.2 Employment and Unemployment,55,"Free AQA A-Level Economics revision notes on Employment and Unemployment- learn about definitions, measurement methods, types and causes of unemployment, underemployment, and the impact of migration on the labour market.","Free AQA A-Level Economics revision notes for unit 2.3.2. Covers the Labour Force Survey and Claimant Count, types of unemployment and the natural rate.",152,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-3-2-employment-and-unemployment.html,
revision-notes/aqa-a2-macro/2-3-3-inflation-and-deflation.html,AQA,2.3.3,Inflation and Deflation,2.3.3 Inflation and Deflation | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.3.3 Inflation and Deflation,51,"Free AQA A-Level Economics revision notes on Inflation and Deflation - learn about the causes, effects, and measurement of inflation and deflation in the UK economy.","Free AQA A-Level Economics revision notes (2.3.3). Covers inflation, deflation and disinflation, CPI limits, demand-pull and cost-push causes. With diagrams.",157,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-3-3-inflation-and-deflation.html,
revision-notes/aqa-a2-macro/2-3-4-possible-conflicts-between-macroeconomic-policy-objectives.html,AQA,2.3.4,Possible Conflicts between Macroeconomic Policy Objectives,2.3.4 Possible Conflicts between Macroeconomic Policy Objectives | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.3.4 Macroeconomic Policy Conflicts,58,"Free AQA A-Level Economics revision notes on Possible Conflicts between Macroeconomic Policy Objectives - learn about trade-offs between objectives, the short-run Phillips Curve, and policy conflicts.","AQA A-Level Economics 2.3.4 revision notes. Covers the key trade-offs, the short-run and long-run Phillips curves, and reconciling conflicts. With diagrams.",156,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-3-4-possible-conflicts-between-macroeconomic-policy-objectives.html,topic shortened for title only; h1 unchanged
revision-notes/aqa-a2-macro/2-4-1-the-structure-of-financial-markets-and-financial-assets.html,AQA,2.4.1,The Structure of Financial Markets and Financial Assets,2.4.1 The Structure of Financial Markets and Financial Assets | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.4.1 Financial Markets and Assets,56,"Free AQA A-Level Economics revision notes on The Structure of Financial Markets and Financial Assets - learn about the functions and characteristics of money, the money supply, financial markets, debt and equity, and bonds.","Free AQA A-Level Economics revision notes (2.4.1). Covers the functions of money, narrow and broad money, money and capital markets, debt, equity and bonds.",156,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-4-1-the-structure-of-financial-markets-and-financial-assets.html,topic shortened for title only; h1 unchanged
revision-notes/aqa-a2-macro/2-4-2-commercial-banks-and-investment-banks.html,AQA,2.4.2,Commercial Banks and Investment Banks,2.4.2 Commercial Banks and Investment Banks | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.4.2 Commercial and Investment Banks,59,"Free AQA A-Level Economics revision notes on Commercial Banks and Investment Banks - learn the difference between commercial and investment banks, the main functions of a commercial bank, the structure of a commercial bank's balance sheet, and the objectives of a commercial bank.","Free AQA A-Level Economics revision notes (2.4.2). Covers the commercial and investment bank distinction, the balance sheet, objectives and credit creation.",156,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-4-2-commercial-banks-and-investment-banks.html,topic shortened for title only; h1 unchanged
revision-notes/aqa-a2-macro/2-4-3-central-banks-and-monetary-policy.html,AQA,2.4.3,Central Banks and Monetary Policy,2.4.3 Central Banks and Monetary Policy | AQA A-Level Economics Revision Notes | Economics Academy,"AQA A-Level Economics 2.4.3 Central Banks, Monetary Policy",58,"Free AQA A-Level Economics revision notes on Central Banks and Monetary Policy - learn about the functions of a central bank, the objectives of monetary policy and how it is implemented, and how the monetary policy transmission mechanism works.","Free AQA A-Level Economics revision notes (2.4.3). Covers central bank functions, monetary policy tools, quantitative easing and the transmission mechanism.",156,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-4-3-central-banks-and-monetary-policy.html,topic shortened for title only; h1 unchanged
revision-notes/aqa-a2-macro/2-4-4-the-regulation-of-the-financial-system.html,AQA,2.4.4,The Regulation of the Financial System,2.4.4 The Regulation of the Financial System | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.4.4 Regulating the Financial System,59,"Free AQA A-Level Economics revision notes on The Regulation of the Financial System - learn about the role of the Bank of England, the Prudential Regulation Authority (PRA), the Financial Policy Committee (FPC), and the Financial Conduct Authority (FCA).","Free AQA A-Level Economics revision notes for unit 2.4.4. Covers the Bank of England, PRA, FPC and FCA, liquidity and capital ratios, and systemic risk.",152,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-4-4-the-regulation-of-the-financial-system.html,topic shortened for title only; h1 unchanged
revision-notes/aqa-a2-macro/2-5-1-fiscal-policy.html,AQA,2.5.1,Fiscal Policy,2.5.1 Fiscal Policy | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.5.1 Fiscal Policy,41,"Free AQA A-Level Economics revision notes on Fiscal Policy - learn about government spending, taxation, budget balance, national debt, and the role of the Office for Budget Responsibility (OBR).","Free AQA A-Level Economics revision notes (2.5.1). Covers the government budget, the Laffer curve, types of spending and taxes, national debt and the OBR.",154,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-5-1-fiscal-policy.html,
revision-notes/aqa-a2-macro/2-5-2-supply-side-policies.html,AQA,2.5.2,Supply-Side Policies,2.5.2 Supply-Side Policies | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.5.2 Supply-Side Policies,48,"Free AQA A-Level Economics revision notes on Supply-Side Policies - learn about market-based and interventionist policies, their impact on the economy, and how they affect macroeconomic objectives.",Free AQA A-Level Economics revision notes (2.5.2). Covers market-based and interventionist policies and their impact on LRAS and macroeconomic objectives.,154,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-5-2-supply-side-policies.html,
revision-notes/aqa-a2-macro/2-6-1-globalisation.html,AQA,2.6.1,Globalisation,2.6.1 Globalisation | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.6.1 Globalisation,41,"Free AQA A-Level Economics revision notes on Globalisation - learn about the factors driving globalisation and its effects on consumers, workers, firms, governments, and the environment.","Free AQA A-Level Economics revision notes for unit 2.6.1. Covers the drivers of globalisation and its impact on consumers, workers, firms and the environment.",158,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-6-1-globalisation.html,
revision-notes/aqa-a2-macro/2-6-2-trade.html,AQA,2.6.2,Trade,2.6.2 Trade | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.6.2 Trade,33,"Free AQA A-Level Economics revision notes on Trade - learn about absolute and comparative advantage, the costs and benefits of international trade, protectionist policies, and trading blocs.","AQA A-Level Economics 2.6.2 revision notes. Covers absolute and comparative advantage, protectionism, trading blocs and the role of the WTO. With diagrams.",155,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-6-2-trade.html,
revision-notes/aqa-a2-macro/2-6-3-the-balance-of-payments.html,AQA,2.6.3,The Balance of Payments,2.6.3 The Balance of Payments | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.6.3 The Balance of Payments,51,"Free AQA A-Level Economics revision notes on The Balance of Payments - learn about the structure of the balance of payments, current account deficits and surpluses, causes of a current account deficit, and policies to reduce it.","Free AQA A-Level Economics revision notes for unit 2.6.3. Covers the structure of the accounts, deficits and surpluses, their causes and corrective policies.",157,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-6-3-the-balance-of-payments.html,
revision-notes/aqa-a2-macro/2-6-4-exchange-rate-systems.html,AQA,2.6.4,Exchange Rate Systems,2.6.4 Exchange Rate Systems | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.6.4 Exchange Rate Systems,49,"Free AQA A-Level Economics revision notes on Exchange Rate Systems - learn about floating and fixed exchange rate systems, causes of appreciation and depreciation, government intervention, and currency unions.","AQA A-Level Economics 2.6.4 revision notes. Covers floating, fixed and managed systems, appreciation and depreciation, and currency unions. With diagrams.",154,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-6-4-exchange-rate-systems.html,
revision-notes/aqa-a2-macro/2-6-5-economic-growth-and-development.html,AQA,2.6.5,Economic Growth and Development,2.6.5 Economic Growth and Development | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.6.5 Economic Growth and Development,59,"Free AQA A-Level Economics revision notes on Economic Growth and Development - learn about the difference between growth and development, the main indicators of development including HDI, the factors that affect growth and development and policies that can be used to promote economic growth and development.","Free AQA A-Level Economics revision notes (2.6.5). Covers growth versus development, HDI and other indicators, and market-led versus state-led strategies.",154,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-6-5-economic-growth-and-development.html,
revision-notes/aqa-a2-micro/1-1-1-economic-methodology.html,AQA,1.1.1,Economic Methodology,1.1.1 Economic Methodology | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 1.1.1 Economic Methodology,48,"Free AQA A-Level Economics revision notes on Economic Methodology — learn about the nature of economics, economic models, and the scientific method.","Free AQA A-Level Economics revision notes (1.1.1). Covers economics as a social science, the role of models, ceteris paribus, and positive versus normative.",156,https://economicsacademy.co.uk/revision-notes/aqa-a2-micro/1-1-1-economic-methodology.html,
revision-notes/aqa-a2-micro/1-1-2-the-nature-and-purpose-of-economic-activity.html,AQA,1.1.2,The Nature and Purpose of Economic Activity,1.1.2 The Nature and Purpose of Economic Activity | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 1.1.2 The Purpose of Economic Activity,60,"Free AQA A-Level Economics revision notes on the Nature and Purpose of Economic Activity - learn about the central purpose of economic activity, the basic economic problem, and the three fundamental questions every economy must answer.",Free AQA A-Level Economics revision notes for unit 1.1.2. Covers the central purpose of economic activity and the three questions every economy must answer.,156,https://economicsacademy.co.uk/revision-notes/aqa-a2-micro/1-1-2-the-nature-and-purpose-of-economic-activity.html,topic shortened for title only; h1 unchanged
revision-notes/aqa-a2-micro/1-1-3-economic-resources.html,AQA,1.1.3,Economic Resources,1.1.3 Economic Resources | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 1.1.3 Economic Resources,46,"Free AQA A-Level Economics revision notes on Economic Resources - learn about the different types of factors of production, and how the environment is a scarce resource that must be managed sustainably.","Free AQA A-Level Economics revision notes for unit 1.1.3. Covers land, labour, capital and enterprise, and why the environment is itself a scarce resource.",155,https://economicsacademy.co.uk/revision-notes/aqa-a2-micro/1-1-3-economic-resources.html,
revision-notes/aqa-a2-micro/1-1-4-scarcity-choice-and-the-allocation-of-resources.html,AQA,1.1.4,"Scarcity, Choice and the Allocation of Resources","1.1.4 Scarcity, Choice and the Allocation of Resources | AQA A-Level Economics Revision Notes | Economics Academy","AQA A-Level Economics 1.1.4 Scarcity, Choice and Allocation",59,"Free AQA A-Level Economics revision notes on Scarcity, Choice and the Allocation of Resources - learn about the basic economic problem of scarcity, choice and the allocation of resources, and how this leads to opportunity cost.","Free AQA A-Level Economics revision notes for unit 1.1.4. Covers the basic economic problem, why choices must be made, and how opportunity cost arises.",151,https://economicsacademy.co.uk/revision-notes/aqa-a2-micro/1-1-4-scarcity-choice-and-the-allocation-of-resources.html,topic shortened for title only; h1 unchanged
revision-notes/aqa-a2-micro/1-1-5-production-possibility-diagrams.html,AQA,1.1.5,Production Possibility Diagrams,1.1.5 Production Possibility Diagrams | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 1.1.5 Production Possibility Diagrams,59,"Free AQA A-Level Economics revision notes on Production Possibility Diagrams - learn about the production possibility diagram, including the concepts of opportunity cost, productive efficiency, and allocative efficiency.","AQA A-Level Economics 1.1.5 revision notes. Covers what a PPF shows, points on and inside the curve, and shifts showing growth and decline. With diagrams.",154,https://economicsacademy.co.uk/revision-notes/aqa-a2-micro/1-1-5-production-possibility-diagrams.html,
revision-notes/aqa-a2-micro/1-2-1-consumer-behaviour.html,AQA,1.2.1,Consumer Behaviour,1.2.1 Consumer Behaviour | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 1.2.1 Consumer Behaviour,46,"Free AQA A-Level Economics revision notes on Consumer Behaviour - learn about rational economic decision making, utility theory, and the law of diminishing marginal utility.","Free AQA A-Level Economics revision notes for unit 1.2.1. Covers rational decision making, how agents are assumed to behave, and diminishing marginal utility.",158,https://economicsacademy.co.uk/revision-notes/aqa-a2-micro/1-2-1-consumer-behaviour.html,
revision-notes/aqa-a2-micro/1-2-2-imperfect-information.html,AQA,1.2.2,Imperfect Information,1.2.2 Imperfect Information | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 1.2.2 Imperfect Information,49,"Free AQA A-Level Economics revision notes on Imperfect Information - importance of information for decision making, information gaps and asymmetric information.","Free AQA A-Level Economics revision notes for unit 1.2.2. Covers why information matters, information gaps, and the consequences of asymmetric information.",155,https://economicsacademy.co.uk/revision-notes/aqa-a2-micro/1-2-2-imperfect-information.html,
revision-notes/aqa-a2-micro/1-2-3-aspects-of-behavioural-economic-theory.html,AQA,1.2.3,Aspects of Behavioural Economic Theory,1.2.3 Aspects of Behavioural Economic Theory | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 1.2.3 Behavioural Economic Theory,55,"Free AQA A-Level Economics revision notes on Aspects of Behavioural Economic Theory - including bounded rationality, bounded self control, biases and altruism.",Free AQA A-Level Economics revision notes for unit 1.2.3. Covers how behavioural economics challenges rationality and the biases that distort decisions.,152,https://economicsacademy.co.uk/revision-notes/aqa-a2-micro/1-2-3-aspects-of-behavioural-economic-theory.html,topic shortened for title only; h1 unchanged
revision-notes/aqa-a2-micro/1-2-4-behavioural-economics-and-economic-policy.html,AQA,1.2.4,Behavioural Economics and Economic Policy,1.2.4 Behavioural Economics and Economic Policy | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 1.2.4 Behavioural Economics and Policy,60,"Free AQA A-Level Economics revision notes on Behavioural Economics and Economic Policy - including choice architecture, framing and nudges.","Free AQA A-Level Economics revision notes (1.2.4). Covers choice architecture, framing and nudges, and how they shape policy. Includes evaluation points.",153,https://economicsacademy.co.uk/revision-notes/aqa-a2-micro/1-2-4-behavioural-economics-and-economic-policy.html,topic shortened for title only; h1 unchanged
revision-notes/aqa-a2-micro/1-3-1-the-determinants-of-the-demand-for-goods-and-services.html,AQA,1.3.1,The Determinants of the Demand for Goods and Services,1.3.1 The Determinants of the Demand for Goods and Services | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 1.3.1 The Determinants of Demand,54,"Free AQA A-Level Economics revision notes on The Determinants of the Demand for Goods and Services - including the law of demand, the demand curve, and the factors that cause shifts in demand.","AQA A-Level Economics 1.3.1 revision notes. Covers the law of demand, the demand curve, the conditions of demand and marginal utility. With comparison tables.",158,https://economicsacademy.co.uk/revision-notes/aqa-a2-micro/1-3-1-the-determinants-of-the-demand-for-goods-and-services.html,topic shortened for title only; h1 unchanged
revision-notes/aqa-a2-micro/1-3-2-price-income-and-cross-elasticities-of-demand.html,AQA,1.3.2,"Price, Income and Cross Elasticities of Demand","1.3.2 Price, Income and Cross Elasticities of Demand | AQA A-Level Economics Revision Notes | Economics Academy",AQA A-Level Economics 1.3.2 Elasticities of Demand,50,"Free AQA A-Level Economics revision notes on Price, Income and Cross Elasticities of Demand - including price elasticity of demand (PED), income elasticity of demand (YED), and cross elasticity of demand (XED).","Revision notes for AQA A-Level Economics 1.3.2. Covers PED, YED and XED with formulas, worked calculations and their significance for firms. With diagrams.",155,https://economicsacademy.co.uk/revision-notes/aqa-a2-micro/1-3-2-price-income-and-cross-elasticities-of-demand.html,topic shortened for title only; h1 unchanged
revision-notes/aqa-a2-micro/1-3-3-the-determinants-of-the-supply-of-goods-and-services.html,AQA,1.3.3,The Determinants of the Supply of Goods and Services,1.3.3 The Determinants of the Supply of Goods and Services | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 1.3.3 The Determinants of Supply,54,"Free AQA A-Level Economics revision notes on The Determinants of the Supply of Goods and Services - including the law of supply, the supply curve, and the factors that cause shifts in supply.","AQA A-Level Economics 1.3.3 revision notes. Covers the law of supply, movements along the curve, and the factors that shift supply. With exam-ready evaluation.",159,https://economicsacademy.co.uk/revision-notes/aqa-a2-micro/1-3-3-the-determinants-of-the-supply-of-goods-and-services.html,topic shortened for title only; h1 unchanged
revision-notes/aqa-a2-micro/1-3-4-price-elasticity-of-supply.html,AQA,1.3.4,Price Elasticity of Supply,1.3.4 Price Elasticity of Supply | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 1.3.4 Price Elasticity of Supply,54,"Free AQA A-Level Economics revision notes on Price Elasticity of Supply - including the definition, calculation, interpretation of PES values, and the key determinants of PES.","Free AQA A-Level Economics revision notes for unit 1.3.4. Covers the PES formula, interpreting values, its determinants and short-run versus long-run supply.",157,https://economicsacademy.co.uk/revision-notes/aqa-a2-micro/1-3-4-price-elasticity-of-supply.html,
revision-notes/aqa-a2-micro/1-3-5-the-determination-of-equilibrium-market-prices.html,AQA,1.3.5,The Determination of Equilibrium Market Prices,1.3.5 The Determination of Equilibrium Market Prices | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 1.3.5 Equilibrium Market Prices,53,"Free AQA A-Level Economics revision notes on The Determination of Equilibrium Market Prices - including market equilibrium, disequilibrium, and shifts in market equilibrium.","AQA A-Level Economics 1.3.5 revision notes. Covers how demand and supply set price and quantity, disequilibrium, and shifts in equilibrium. With diagrams.",154,https://economicsacademy.co.uk/revision-notes/aqa-a2-micro/1-3-5-the-determination-of-equilibrium-market-prices.html,topic shortened for title only; h1 unchanged
revision-notes/aqa-a2-micro/1-3-6-the-interrelationship-between-markets.html,AQA,1.3.6,The Interrelationship between Markets,1.3.6 The Interrelationship between Markets | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 1.3.6 Interrelated Markets,48,"Free AQA A-Level Economics revision notes on The Interrelationship between Markets - including joint demand, competitive demand, composite demand, derived demand, and joint supply.","Free AQA A-Level Economics revision notes (1.3.6). Covers joint demand, competitive demand, composite demand, derived demand and joint supply. With diagrams.",157,https://economicsacademy.co.uk/revision-notes/aqa-a2-micro/1-3-6-the-interrelationship-between-markets.html,topic shortened for title only; h1 unchanged
revision-notes/aqa-a2-micro/1-4-1-production-and-productivity.html,AQA,1.4.1,Production & Productivity,1.4.1 Production & Productivity | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 1.4.1 Production & Productivity,53,"Free AQA A-Level Economics revision notes on Production &amp; Productivity - including production, productivity, and labour productivity.","Free AQA A-Level Economics revision notes for unit 1.4.1. Covers the meaning of production, how productivity is measured, and what raises labour productivity.",158,https://economicsacademy.co.uk/revision-notes/aqa-a2-micro/1-4-1-production-and-productivity.html,
revision-notes/aqa-a2-micro/1-4-2-specialisation-division-of-labour-and-exchange.html,AQA,1.4.2,"Specialisation, Division of Labour and Exchange","1.4.2 Specialisation, Division of Labour and Exchange | AQA A-Level Economics Revision Notes | Economics Academy",AQA A-Level Economics 1.4.2 Specialisation and Exchange,55,"Free AQA A-Level Economics revision notes on Specialisation, Division of Labour and Exchange - learn the benefits of specialisation and division of labour, the functions of money, and the problems of a barter economy.","Free AQA A-Level Economics revision notes for unit 1.4.2. Covers levels of specialisation, the gains and drawbacks of dividing labour, and money's functions.",157,https://economicsacademy.co.uk/revision-notes/aqa-a2-micro/1-4-2-specialisation-division-of-labour-and-exchange.html,topic shortened for title only; h1 unchanged
